dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,lr_target,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
svhn,10,10,10,1,32,1024,True,adam,5e-05,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.206,367.34892320632935
svhn,10,10,10,1,32,2000,True,adam,0.001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1299999999999999,578.8619556427002
svhn,10,10,10,1,32,2000,True,adam,0.001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.129,600.5534865856171
svhn,10,10,10,1,32,2000,True,adam,0.001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.131,601.7190272808075
svhn,10,10,10,1,32,2000,True,adam,0.0001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1339999999999999,600.4118361473083
svhn,10,10,10,1,32,2000,True,adam,0.0001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.21,601.4304230213165
svhn,10,10,10,1,32,2000,True,adam,0.0001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.222,605.4093623161316
svhn,10,10,10,1,32,2000,True,adam,5e-05,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.121,610.7367613315582
svhn,10,10,10,1,32,2000,True,adam,5e-05,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.181,623.9170606136322
svhn,10,10,10,1,32,2000,True,adam,5e-05,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.192,615.2864029407501
svhn,10,10,50,1,32,1024,True,adam,0.001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.207,1939.675912618637
svhn,10,10,50,1,32,1024,True,adam,0.001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1199999999999999,1915.144357442856
svhn,10,10,50,1,32,1024,True,adam,0.001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.122,1862.2149543762207
svhn,10,10,50,1,32,1024,True,adam,0.0001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.2699999999999999,1913.150005340576
svhn,10,10,50,1,32,1024,True,adam,0.0001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.346,1920.869600057602
svhn,10,10,50,1,32,1024,True,adam,0.0001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3699999999999999,1947.9743115901947
svhn,10,10,50,1,32,1024,True,adam,5e-05,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.262,1955.7112357616425
svhn,10,10,50,1,32,1024,True,adam,5e-05,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.352,1962.668247699737
